class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
28784,10299,749,1.10m Junior/Amateur Jumper II.1,8,2034,Kannon 2000 Z,Grace Heidenreich,Grace Heidenreich,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,1006,Thompson Ter Doorn Z,Maria Pantaliao,Maria Pantaliao,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,1324,Color Coded,Addison Fulbright,Karsyn Edmondson,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,1686,Hickstead Legend,Mason Plaumann,Mason Plaumann,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,1725,Loudon,Amy Nelson,Amy Nelson,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,1758,Gof Perle D'amour,Charlotte Mack,"Golden Oaks Farm, LLC",,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,1826,Emi Initia,Sara Lent,Unknown Person,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,1831,Umtiti Van De Barlebuis,Giavona Pirolo,Giavona Pirolo,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,1955,Diva Du Cache Pot Z,Jasmyne Tanguay,Katherine F. Dewar,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,2017,United Del Coco,Julia Worden,Julia Worden,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,2030,Chili Z,Heather Farmer,Heather Farmer,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,2039,Mtm Top Gun,Ashley Wilson,Ashley Wilson,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,2351,Otto Pilot,Emily Giovino,Jennifer Giovino,,
28784,10299,749,1.10m Junior/Amateur Jumper II.1,,2357,Crazy,Ashley Greene,Ashley Greene,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,1,1324,Color Coded,Addison Fulbright,Karsyn Edmondson,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,2,1758,Gof Perle D'amour,Charlotte Mack,"Golden Oaks Farm, LLC",,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,3,1984,Olli Van De Zuuthoeve,Dana Narayanappa,Bentley Bassick,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,4,1974,Stillman,Courtney Blackburn,Courtney Blackburn,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,5,1177,Larezza Citty C,Madison Koplin,Ava Koplin,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,6,1429,Quallie,Tanner Hedrick,Tanner Hedrick,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,7,2017,United Del Coco,Julia Worden,Julia Worden,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,8,2357,Crazy,Ashley Greene,Ashley Greene,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1006,Thompson Ter Doorn Z,Maria Pantaliao,Maria Pantaliao,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1150,C'Est Moi Z,Tara Cornelius,Tara Cornelius,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1184,Cumulonimbus,Reagan Brown,Reagan Brown,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1248,Ciemusic Z,Kathryn Camunas,Kathryn Camunas,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1326,The Getaway Car,Anna Scott Ault,Anna Scott Ault,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1651,Close To Me 5,Mandy L. Miller,Mandy L. Miller,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1686,Hickstead Legend,Mason Plaumann,Mason Plaumann,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1706,Airway Semilly,Ella Walker,Ella Walker,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1725,Loudon,Amy Nelson,Amy Nelson,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1831,Umtiti Van De Barlebuis,Giavona Pirolo,Giavona Pirolo,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1917,Smooth Sailing,Claire Arnold,Claire Arnold,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1955,Diva Du Cache Pot Z,Jasmyne Tanguay,Katherine F. Dewar,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,1958,Hairo,Stella Kraemer,Skyler Fields,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,2016,Giovanna,Emma Kirk,Emma Kirk,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,2055,Heartbreaker's Isabella Z,Isabella Freeburg,Gail Dady,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,2201,Diablo,Stella Kraemer,Ashland Farms,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,2351,Otto Pilot,Emily Giovino,Jennifer Giovino,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,2365,Qiana,Katie Rosenfels,Katie Rosenfels,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,2370,Diamo De L'anglissant Z,Bryn Hurley,Apex Equestrian Center,,
28785,10299,750,1.10m Junior/Amateur Jumper II.2d,,2544,Tutti Fruitti Van De Fruitkorf,Vivian Heyer,Vivian Heyer,,
28595,10256,757,1.15m Junior/Amateur Jumper II.1,1,1954,Big Bay Energy,Laura Willson,Francesca Willson,,
28595,10256,757,1.15m Junior/Amateur Jumper II.1,2,1549,Ezin Rk,Alexa Riccio,Alexa Riccio,,
28595,10256,757,1.15m Junior/Amateur Jumper II.1,3,1857,Chill Z,Leyla Carmona,Leyla Carmona,,
28595,10256,757,1.15m Junior/Amateur Jumper II.1,4,1421,Liverpool 56,Liza Guettler,Liza Guettler,,
28595,10256,757,1.15m Junior/Amateur Jumper II.1,5,1420,Cierra,Liza Guettler,Joyce C. Green,,
28595,10256,757,1.15m Junior/Amateur Jumper II.1,6,2345,Funky De L'abbaye,Katherine E. Pitts,Laura Kaiser,,
28595,10256,757,1.15m Junior/Amateur Jumper II.1,7,1956,Zafer,Laura Willson,Laura Willson,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,1,2006,Fundament-E,Abbey Slaven,Abbey Slaven,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,2,2005,Acapulco,Abbey Slaven,"Showcase 81, LLC",,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,3,1420,Cierra,Liza Guettler,Joyce C. Green,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,4,2039,Mtm Top Gun,Ashley Wilson,Ashley Wilson,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,5,1421,Liverpool 56,Liza Guettler,Liza Guettler,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,6,1723,Berlisto,Amy Nelson,Amy Nelson,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,7,1519,Mtm Clarcona,Anna Mead,Anna Mead,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,8,1857,Chill Z,Leyla Carmona,Leyla Carmona,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,,1549,Ezin Rk,Alexa Riccio,Alexa Riccio,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,,1954,Big Bay Energy,Laura Willson,Francesca Willson,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,,1956,Zafer,Laura Willson,Laura Willson,,
28596,10256,758,1.15m Junior/Amateur Jumper II.2d,,2345,Funky De L'abbaye,Katherine E. Pitts,Laura Kaiser,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,1,1739,Lucie V/H Vijverbos Z,Amelia Tredinnick,Carly Tredinnick,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,2,1688,Mar Simon,Michelle Lin,Michelle Lin,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,3,2538,Soufriere,Paulina Muente,Alison Firestone LLC,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,4,1018,Flint T.s. Et,Camille Pacheco,Camille Pacheco,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,5,1680,Vdl Jamorkus,Ana Sofia Rodriguez,Rodriguez Equestrian,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,6,1694,Hector Du Gue,Ryan Haselden,Ryan Haselden,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,7,2126,Momentum,Zara Adnams,Roberto Teran Tafur,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,8,2024,Revelry,Sharon S. Maloney,Sharon S. Maloney,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,9,2057,Bucephalus,Bobby Malmrose,Bobby Malmrose,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,,1252,Corleone,Lizabeth Perez-Pascual,Lizabeth Perez-Pascual,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,,1253,I'M Du Vinia,Lizabeth Perez-Pascual,Lizabeth Perez-Pascual,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,,1325,Scooby Doo,Karsyn Edmondson,Karsyn Edmondson,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,,1678,Seattle,Ana Sofia Perez,Emco Holding LLC,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,,1697,Nour Alain,Ryan Haselden,Ryan Haselden,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,,1751,Cosiol Vd Padenborre Z,Lisa Mackil,Lisa Mackil,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,,2022,Global Melody,Amy Evans,Amy Evans,,
28787,10290,768,1.20m Junior/Amateur Jumper II.1,,2060,Miss Dutton,Bobby Malmrose,Bobby Malmrose,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,1,1946,Kashmir,Casey M. Millis,Casey M. Millis,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,2,1018,Flint T.s. Et,Camille Pacheco,Camille Pacheco,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,3,1325,Scooby Doo,Karsyn Edmondson,Karsyn Edmondson,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,4,1680,Vdl Jamorkus,Ana Sofia Rodriguez,Rodriguez Equestrian,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,5,1418,Vdl Friedakilly R Z,Ana Sofia Rodriguez,Rodriguez Equestrian,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,6,1694,Hector Du Gue,Ryan Haselden,Ryan Haselden,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,7,1678,Seattle,Ana Sofia Perez,Emco Holding LLC,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,8,2352,J. Charley,Joslyn Young,Joslyn Young,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,,1652,Dolce Arroganza Rouge Bois,Adele Dewar,Adele Dewar,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,,1659,London Star,Barbara H. Center,Barbara H. Center,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,,1688,Mar Simon,Michelle Lin,Michelle Lin,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,,1948,Madison Square Sb,Francisco Vaca,Frei Equestrian LLC,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,,2126,Momentum,Zara Adnams,Roberto Teran Tafur,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,,2127,Yalambi’s Jingle Bell,Zara Adnams,Reece Adnams,,
28788,10290,769,1.20m Junior/Amateur Jumper II.2d,,2538,Soufriere,Paulina Muente,Alison Firestone LLC,,
28589,10283,775,1.30m Junior/Amateur Jumper II.1,1,1002,Balou's Paul Ps,Diego Gaspar De Goes,Wellington Equestrian Center Inc,,
28589,10283,775,1.30m Junior/Amateur Jumper II.1,2,1417,Vajra Du Blay,Emilio Medina,Emilio Medina,,
28589,10283,775,1.30m Junior/Amateur Jumper II.1,3,1736,Garrincha Van De Kalevallei,Maleah Lang Mcmahon,Linda Bammann,,
28589,10283,775,1.30m Junior/Amateur Jumper II.1,4,1674,Koblenz,Ana Cristina Rodriguez,Sophie Heron,,
28589,10283,775,1.30m Junior/Amateur Jumper II.1,5,1939,Harry D'ete RW,Amanda Carroll,Amanda Carroll,,
28589,10283,775,1.30m Junior/Amateur Jumper II.1,6,1689,Nastelina Van De Witte Driesendijk,Michelle Lin,Michelle Lin,,
28589,10283,775,1.30m Junior/Amateur Jumper II.1,7,2378,Arielle Race,Porter Tobin,Porter Tobin,,
28589,10283,775,1.30m Junior/Amateur Jumper II.1,8,1014,Ic Quadeo Br,Avery Franke,Avery Franke,,
28590,10283,776,1.30m Junior/Amateur Jumper II.2d,1,1922,Montecristo,Selcuk Koksalan,Leyla Stables LLC,,
28590,10283,776,1.30m Junior/Amateur Jumper II.2d,2,1014,Ic Quadeo Br,Avery Franke,Avery Franke,,
28590,10283,776,1.30m Junior/Amateur Jumper II.2d,3,1920,Cordis Totalis Z,Selcuk Koksalan,Selcuk Koksalan,,
28590,10283,776,1.30m Junior/Amateur Jumper II.2d,4,1712,Lodewijk 39,Elli Yeager,39 Fields LLC,,
28590,10283,776,1.30m Junior/Amateur Jumper II.2d,5,1689,Nastelina Van De Witte Driesendijk,Michelle Lin,Michelle Lin,,
28590,10283,776,1.30m Junior/Amateur Jumper II.2d,6,1002,Balou's Paul Ps,Diego Gaspar De Goes,Wellington Equestrian Center Inc,,
28590,10283,776,1.30m Junior/Amateur Jumper II.2d,7,1020,Santa Rosa Diva,Priscilla Broger,Priscilla Broger,,
28586,10278,781,1.40m Junior/Amateur Jumper II.1,1,1753,Cecilija,Tyra Cleary,Tc Sporthorses LLC,,
28586,10278,781,1.40m Junior/Amateur Jumper II.1,2,1940,In Between RW,Amanda Carroll,Amanda Carroll,,
28586,10278,781,1.40m Junior/Amateur Jumper II.1,,1938,Conthargos,Amanda Carroll,Ac Squared Sporthorses LLC,,
28587,10278,782,1.40m Junior/Amateur Jumper II.2d,1,1939,Harry D'ete RW,Amanda Carroll,Amanda Carroll,,
28587,10278,782,1.40m Junior/Amateur Jumper II.2d,2,1856,Zara Www,Kate Phillips,Kate Phillips,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,1,1950,Zoronto,Francisco Vaca,"Texas De Limache, LLC",,$875
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,2,1851,Dsp Undercover,Lola Bacardi,Lola Bacardi,,$665
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,3,1214,Madette S,Megan Wexler,Sara Setian,,$525
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,4,1668,Goodgraf,Lenir Perez,Emco Holding LLC,,$350
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,5,1551,Scenorrado Vd Hunters Z,Madison Wayda Smith,Madison Wayda Smith,,$315
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,6,1695,I Jump D'authuit,Declan Egan,Laura Connolly,,$280
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,7,1019,Icare Chavannais,Priscilla Broger,Priscilla Broger,,$245
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,8,1858,Kiekeboe Spirit,Riley Delbecq,Spirit Group,,$245
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,9,1656,Hutin De L'abbaye,Kyle Dewar,Kyle Dewar,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,10,1655,Helia Ffh,Kyle Dewar,Willshire Farm LTD,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,11,2043,Edward Z,Ciaran Flynn,Mclain Ward,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,12,1323,Uncle John’s Band,Camille Maynard,Anne C. Hormel,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,13,1321,The Golden Road,Camille Maynard,Anne C. Hormel,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,14,1949,Rihanna Dwerse Hagen,Francisco Vaca,Francisco Vaca,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1020,Santa Rosa Diva,Priscilla Broger,Priscilla Broger,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1212,Corinthian,Megan Wexler,"Amen Corner Farm, LLC",,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1213,Gof Casamigos,Megan Wexler,"Golden Oaks Farm, LLC",,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1415,Nijerite,Diego Loria,Diego Loria,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1426,Orchidee Vd Bisschop,Devin A. Seek,Stefano Baruzzo LLC,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1430,Karlotta Cl,Alejandra Ortiz Orozco,Alejandra Ortiz Orozco,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1434,Conthalando Ps,Manuel G. Torres,Manuel G. Torres,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1538,Mojito Di Villagana,Pato Muente,Pato Muente,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1652,Dolce Arroganza Rouge Bois,Adele Dewar,Adele Dewar,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1684,Gelano,Jessica Collins,Jessica Collins,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1696,Kinmar Candy Hero,Declan Egan,Oakland Ventures LLC,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1700,Chacoons Bellis Z,Todd D. Minikus,Todd D. Minikus,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1703,Gardenia,Riley Delbecq,Stephen Macken,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1727,Perla Pas De Calais,Stephanie Frey,Stephanie Frey,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1742,Mason,Aidan Murphy,Linda Murphy,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1755,Tres Jolie Van De Noordheuvel,Jasmyne Tanguay,Jasmyne Tanguay,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1829,Puccini Van Orti,Lia Screnci,Lia Screnci,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1837,Os Quincy,Rebecca Warth,"Warbuck Investments, LLC",,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1852,Top New Tina,Lola Bacardi,Lola Bacardi,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1928,Northern Exposure Wss,Allison Beck,Allison Beck,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1964,Cornet’s Liliane,Lawson Whitaker,Lawson Whitaker,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,1988,Uphoria Di June,Sarah Gordon,"Golden Farm, LLC",,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,2033,King Coconut Gvv,Angela Gais,Shaylie Cooke,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,2056,Barack Z,Bobby Malmrose,Bobby Malmrose,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,2058,Budweiser,Bobby Malmrose,Bobby Malmrose,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,2062,Phaedra Van De Berghoeve,Bobby Malmrose,Bobby Malmrose,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,2362,Constantin De Hus,John Michael Durr,Worth The Wait LLC,,
28660,0,804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,,2539,Jhonny Cash,Juan Carlos Arriaga Radilla,Alejandro Monroy Reus,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",1,2461,Charly-Ann,Amanda Gomez,Rising Star Equestrian,,"$5,099.7"
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",2,2409,Diamond Rbc Z,Jenna P. Friedman-Lopez,"Oakridge Farm Performance Horses, LLC",,"$3,739.78"
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",3,2194,Conto Blanco 4,Sharn L. Wordley,Della Wordley,,"$2,209.87"
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",4,1905,Havane De Cuvry,Scott Keach,Molly Duda,,"$1,359.92"
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",5,2462,Hollywood V,Amanda Gomez,Rising Star Equestrian,,"$1,019.94"
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",6,1667,Ferdita,Ana Cristina Rodriguez,Juan A. Rodriguez Silva,,$849.95
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",7,1965,Conlugo Ps,Lawson Whitaker,Lawson Whitaker,,$669.94
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",8,1693,Goliath De L’ Eldorado,Declan Egan,Bailey P. Tims-Ferira,,$499.95
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",9,1244,Kankan,Brittni A. Raflowitz,Esi Show Jumpers,,$499.95
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",10,1656,Hutin De L'abbaye,Kyle Dewar,Kyle Dewar,,$350
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",11,1953,Mtm Pablo,Tracy Fenney,Davenport Farms,,$350
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",12,1019,Icare Chavannais,Priscilla Broger,Priscilla Broger,,$350
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",13,2195,Hagelin,Sharn L. Wordley,Della Wordley,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",14,1546,Tupac Van De Vrombautshoeve Z,Paige Jones,"Amberfax Farm, Inc",,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",15,1951,Mtm Can Talk To Me,Tracy Fenney,Nina K. Koloseike,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",16,1426,Orchidee Vd Bisschop,Devin A. Seek,Stefano Baruzzo LLC,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1017,Défi De La Roque,Juan Benítez,Camille Pacheco,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1211,Charly Brown 353,Maya Denis,"Procedures, Inc",,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1212,Corinthian,Megan Wexler,"Amen Corner Farm, LLC",,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1213,Gof Casamigos,Megan Wexler,"Golden Oaks Farm, LLC",,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1214,Madette S,Megan Wexler,Sara Setian,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1321,The Golden Road,Camille Maynard,Anne C. Hormel,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1323,Uncle John’s Band,Camille Maynard,Anne C. Hormel,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1407,Casamigos,Diego Bedoya,Nrg Farm LLC,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1409,Condialuba Ps,Diego Bedoya,Nrg Farm LLC,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1412,Quala Vd Rollebeek,Diego Bedoya,Nrg Farm LLC,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1413,Balou De Revel,Emilio Medina,Emilio Medina,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1414,Maestro B,Diego Loria,Diego Loria,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1416,Nova,Juan A. Rodriguez Silva,Diego Loria,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1430,Karlotta Cl,Manuel G. Torres,Alejandra Ortiz Orozco,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1434,Conthalando Ps,Manuel G. Torres,Manuel G. Torres,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1535,Diazino Ps,Pato Muente,Pato Muente,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1550,Daytona S.e,Hanna R. Egan,Hanna R. Egan,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1551,Scenorrado Vd Hunters Z,Madison Wayda Smith,Madison Wayda Smith,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1655,Helia Ffh,Kyle Dewar,Willshire Farm LTD,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1668,Goodgraf,Lenir Perez,Emco Holding LLC,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1684,Gelano,Jessica Collins,Jessica Collins,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1703,Gardenia,Riley Delbecq,Stephen Macken,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1742,Mason,Aidan Murphy,Linda Murphy,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1829,Puccini Van Orti,Lia Screnci,Lia Screnci,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1837,Os Quincy,Rebecca Warth,"Warbuck Investments, LLC",,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1851,Dsp Undercover,Lola Bacardi,Lola Bacardi,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1903,Caleo S,Scott Keach,Mary Pahides,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1906,Vinardi Vh Haringvliet Z,Scott Keach,Scott Keach,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1916,Hhf Levison's Pride,Bryce P. Richardson,Quintessence International,,
28661,0,805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",,1949,Rihanna Dwerse Hagen,Francisco Vaca,Francisco Vaca,,
